410	  0,0001  0,0000  0,0000  0,0000
411	  0,0001  0,0000  0,0000  0,0000
412	  0,0001  0,0000  0,0000  0,0000
413	  0,0001  0,0000  0,0000  0,0000
414	  0,0001  0,0000  0,0000  0,0000
415	  0,0001  0,0000  0,0000  0,0000
416	  0,0002  0,0000  0,0000  0,0000
417	  0,0002  0,0000  0,0000  0,0000
418	  0,0002  0,0000  0,0000  0,0000
419	  0,0002  0,0000  0,0000  0,0000
420	  0,0003  0,0000  0,0000  0,0000
421	  0,0003  0,0000  0,0000  0,0000
422	  0,0004  0,0000  0,0000  0,0000
423	  0,0005  0,0000  0,0000  0,0000
424	  0,0006  0,0000  0,0000  0,0000
425	  0,0006  0,0000  0,0000  0,0000
426	  0,0008  0,0000  0,0000  0,0000
427	  0,0009  0,0000  0,0000  0,0000
428	  0,0012  0,0000  0,0000  0,0000
429	  0,0015  0,0000  0,0000  0,0000
430	  0,0018  0,0000  0,0000  0,0000
431	  0,0022  0,0000  0,0000  0,0000
432	  0,0027  0,0000  0,0000  0,0000
433	  0,0033  0,0000  0,0000  0,0000
434	  0,0042  0,0000  0,0000  0,0000
435	  0,0054  0,0000  0,0000  0,0000
436	  0,0069  0,0000  0,0000  0,0000
437	  0,0088  0,0000  0,0000  0,0000
438	  0,0113  0,0000  0,0000  0,0000
439	  0,0146  0,0000  0,0000  0,0000
440	  0,0190  0,0000  0,0000  0,0000
441	  0,0250  0,0000  0,0000  0,0000
442	  0,0327  0,0000  0,0000  0,0000
443	  0,0428  0,0000  0,0000  0,0000
444	  0,0562  0,0000  0,0000  0,0000
445	  0,0738  0,0000  0,0000  0,0000
446	  0,0964  0,0000  0,0000  0,0001
447	  0,1248  0,0000  0,0000  0,0001
448	  0,1589  0,0000  0,0000  0,0001
449	  0,1983  0,0000  0,0000  0,0001
450	  0,2416  0,0000  0,0000  0,0002
451	  0,2876  0,0000  0,0000  0,0002
452	  0,3343  0,0000  0,0000  0,0002
453	  0,3783  0,0000  0,0000  0,0003
454	  0,4161  0,0000  0,0001  0,0003
455	  0,4463  0,0000  0,0001  0,0003
456	  0,4676  0,0000  0,0002  0,0004
457	  0,4800  0,0000  0,0001  0,0004
458	  0,4847  0,0000  0,0001  0,0004
459	  0,4847  0,0000  0,0000  0,0004
460	  0,4811  0,0000  0,0000  0,0004
461	  0,4757  0,0000  0,0000  0,0004
462	  0,4684  0,0000  0,0000  0,0004
463	  0,4604  0,0000  0,0000  0,0005
464	  0,4522  0,0000  0,0000  0,0005
465	  0,4450  0,0000  0,0001  0,0005
466	  0,4408  0,0000  0,0001  0,0005
467	  0,4404  0,0000  0,0004  0,0006
468	  0,4437  0,0000  0,0002  0,0006
469	  0,4502  0,0000  0,0000  0,0007
470	  0,4574  0,0000  0,0000  0,0007
471	  0,4644  0,0000  0,0000  0,0008
472	  0,4712  0,0000  0,0000  0,0009
473	  0,4783  0,0000  0,0000  0,0010
474	  0,4863  0,0000  0,0000  0,0010
475	  0,4944  0,0000  0,0000  0,0011
476	  0,5024  0,0000  0,0000  0,0013
477	  0,5090  0,0000  0,0000  0,0014
478	  0,5134  0,0000  0,0000  0,0015
479	  0,5167  0,0000  0,0000  0,0017
480	  0,5196  0,0000  0,0000  0,0018
481	  0,5236  0,0000  0,0000  0,0020
482	  0,5290  0,0000  0,0000  0,0022
483	  0,5344  0,0000  0,0000  0,0025
484	  0,5391  0,0000  0,0000  0,0027
485	  0,5415  0,0000  0,0000  0,0029
486	  0,5407  0,0000  0,0000  0,0032
487	  0,5372  0,0000  0,0000  0,0034
488	  0,5328  0,0000  0,0000  0,0037
489	  0,5281  0,0000  0,0000  0,0040
490	  0,5240  0,0000  0,0000  0,0043
491	  0,5201  0,0000  0,0000  0,0046
492	  0,5176  0,0001  0,0000  0,0050
493	  0,5162  0,0001  0,0000  0,0054
494	  0,5163  0,0001  0,0000  0,0058
495	  0,5176  0,0001  0,0000  0,0063
496	  0,5201  0,0002  0,0000  0,0067
497	  0,5239  0,0002  0,0000  0,0072
498	  0,5280  0,0002  0,0000  0,0078
499	  0,5331  0,0002  0,0000  0,0084
500	  0,5380  0,0002  0,0000  0,0090
501	  0,5422  0,0002  0,0000  0,0096
502	  0,5457  0,0003  0,0000  0,0103
503	  0,5475  0,0004  0,0000  0,0108
504	  0,5493  0,0006  0,0000  0,0112
505	  0,5517  0,0008  0,0000  0,0112
506	  0,5552  0,0010  0,0000  0,0110
507	  0,5581  0,0013  0,0000  0,0105
