1.34250 387.47300 0.00025
1.34500 387.17100 0.00060
1.34750 385.22000 0.00125
1.35000 379.12000 0.00230
1.35250 383.04500 0.00470
1.35500 376.04400 0.01110
1.35750 375.04000 0.03455
1.36000 372.43200 0.11540
1.36250 371.83700 0.38665
1.36500 373.28000 0.77210
1.36750 370.29300 0.90095
1.37000 366.28700 0.93120
1.37250 370.29500 0.99165
1.37500 364.61900 1.00000
1.37750 365.02400 0.97710
1.38000 364.77300 0.87130
1.38250 360.37200 0.65490
1.38500 360.76100 0.29790
1.38750 360.10800 0.08965
1.39000 356.43000 0.02610
1.39250 358.29400 0.00830
1.39500 354.86200 0.00280
1.39750 356.82400 0.00115
1.40000 347.57900 0.00020
